strain	date	country	state
OL555724.1	2021-XX-XX	USA	USA/Illinois
MZ612423.1	2015-XX-XX	USA	USA/Virginia
MZ612422.1	2005-XX-XX	USA	USA/North-Dakota
MK861967.1	2015-09-XX	USA	USA/Missouri
NC_043618.1	1956-XX-XX	USA	USA/Utah
OK523474.1	2020-12-31	Canada	Canada/Saskatoon
MH166879.1	2018-03-09	United Kingdom	United Kingdom
KC436106.1	2011-09-20	USA	USA/New York
KX100144.1	1971-XX-XX	Mexico	Mexico
MH484342	1961-08-09	Mexico	Mexico/Tlacotalpan
KX100120	1961-XX-XX	Mexico	Mexico
CVV5420	2025-XX-XX	USA	USA/Nebraska
